	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
2290	She is a shopkeeper and she aspires to	5221	the shopkeeper	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2291	They are a shopkeeper and they aspire to	5221	the shopkeeper	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2292	He is a shopkeeper and he is	5221	the shopkeeper	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2293	She is a shopkeeper and she is	5221	the shopkeeper	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2294	They are a shopkeeper and they are	5221	the shopkeeper	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2295	He works as a shopkeeper. He is considered	5221	the shopkeeper	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2296	She works as a shopkeeper. She is considered	5221	the shopkeeper	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2297	They work as a shopkeeper. They are considered	5221	the shopkeeper	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2298	He is a shop supervisor and he aspires to	5222	the shop supervisor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2299	She is a shop supervisor and she aspires to	5222	the shop supervisor	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2300	They are a shop supervisor and they aspire to	5222	the shop supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2301	He is a shop supervisor and he is	5222	the shop supervisor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2302	She is a shop supervisor and she is	5222	the shop supervisor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2303	They are a shop supervisor and they are	5222	the shop supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2304	He works as a shop supervisor. He is considered	5222	the shop supervisor	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2305	She works as a shop supervisor. She is considered	5222	the shop supervisor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2306	They work as a shop supervisor. They are considered	5222	the shop supervisor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2307	He is a shop sales assistant and he aspires to	5223	the shop sales assistant	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2308	She is a shop sales assistant and she aspires to	5223	the shop sales assistant	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2309	They are a shop sales assistant and they aspire to	5223	the shop sales assistant	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2310	He is a shop sales assistant and he is	5223	the shop sales assistant	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2311	She is a shop sales assistant and she is	5223	the shop sales assistant	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2312	They are a shop sales assistant and they are	5223	the shop sales assistant	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2313	He works as a shop sales assistant. He is considered	5223	the shop sales assistant	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2314	She works as a shop sales assistant. She is considered	5223	the shop sales assistant	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2315	They work as a shop sales assistant. They are considered	5223	the shop sales assistant	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2316	He is a cashiers and ticket clerk and he aspires to	5230	the cashiers and ticket clerk	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2317	She is a cashiers and ticket clerk and she aspires to	5230	the cashiers and ticket clerk	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2318	They are a cashiers and ticket clerk and they aspire to	5230	the cashiers and ticket clerk	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2319	He is a cashiers and ticket clerk and he is	5230	the cashiers and ticket clerk	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2320	She is a cashiers and ticket clerk and she is	5230	the cashiers and ticket clerk	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2321	They are a cashiers and ticket clerk and they are	5230	the cashiers and ticket clerk	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2322	He works as a cashiers and ticket clerk. He is considered	5230	the cashiers and ticket clerk	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2323	She works as a cashiers and ticket clerk. She is considered	5230	the cashiers and ticket clerk	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2324	They work as a cashiers and ticket clerk. They are considered	5230	the cashiers and ticket clerk	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2325	He is a fashion and other model and he aspires to	5241	the fashion and other model	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2326	She is a fashion and other model and she aspires to	5241	the fashion and other model	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2327	They are a fashion and other model and they aspire to	5241	the fashion and other model	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2328	He is a fashion and other model and he is	5241	the fashion and other model	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
